traits,ADD,Autism,BIPSCZ,BIP,BL,BW,Child_BMI,Child_Obes,College,DS,FNBMD,HB,Height,HR,LSBMD,Lupus,MCHC,MCH,MCV,Menarche,MPV,Neuroticism,PBC,PCV,PG,PLT,RA,RBC,T2D,TC,TE
ADD,23,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Autism,0,21,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BIPSCZ,0,1,20,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIP,1,0,2,20,0,0,1,1,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
BL,0,1,0,0,37,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
BW,0,0,0,0,0,25,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Child_BMI,0,0,0,1,0,0,20,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Child_Obes,0,0,0,1,0,0,2,16,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
College,1,0,0,1,0,0,1,0,36,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9
DS,0,0,0,0,1,0,0,1,0,40,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0
FNBMD,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
HB,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,1,1,0,0,0,1,6,0,0,0,5,0,0,0
Height,1,2,3,4,6,1,0,1,2,0,0,1,220,1,2,2,1,0,0,5,1,0,1,0,4,1,2,0,6,0,3
HR,0,0,0,0,0,2,0,0,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LSBMD,0,0,0,0,0,0,0,0,0,0,2,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lupus,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MCHC,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCH,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,29,14,1,0,0,0,0,0,1,0,6,0,0,0
MCV,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,14,32,1,0,0,0,0,0,0,0,6,0,0,0
Menarche,0,0,0,1,1,0,1,1,0,2,0,0,5,0,0,0,0,1,1,56,0,0,0,0,0,0,2,2,1,0,1
MPV,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,29,0,0,0,2,2,0,1,0,0,0
Neuroticism,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,1,0,1,0,0
PBC,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,56,0,1,0,3,0,0,0,0
PCV,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,4,0,0,0
PG,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,17,0,0,0,0,0,0
PLT,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,1,0,0,0,32,0,0,0,0,0
RA,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,3,1,0,0,33,0,1,1,1
RBC,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,6,6,2,1,0,0,4,0,0,0,39,0,1,0
T2D,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,45,0,1
TC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,1
TE,1,0,0,1,0,0,0,0,9,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,37